handle_norm,month,award_usd
0xastronatey,2026-04,1000.0
gesha17,2026-04,1000.0
jerry0422,2026-04,1000.0
dcent09,2026-03,5099.9800000000005
montecristo,2026-03,5099.9800000000005
jerry0422,2026-03,624.88
0xscater,2026-03,445.93
0xastronatey,2026-03,432.59000000000003
0x15,2026-03,340.67
0xanmol,2026-03,340.67
0xapple,2026-03,340.67
0xdemon,2026-03,340.67
0xsolisec,2026-03,340.67
aestheticbhai,2026-03,340.67
ahahahard1k,2026-03,340.67
akhilmanga,2026-03,340.67
alan_clan_67,2026-03,340.67
b_void,2026-03,340.67
beer,2026-03,340.67
blockknock,2026-03,340.67
dna-thug,2026-03,340.67
drynooo,2026-03,340.67
gesha17,2026-03,340.67
hakeem_is_here,2026-03,340.67
happykilling,2026-03,340.67
hiram,2026-03,340.67
hodlturk,2026-03,340.67
jhongamersx,2026-03,340.67
kb520,2026-03,340.67
kind0dev,2026-03,340.67
legat,2026-03,340.67
meganpark,2026-03,340.67
nexusaudits,2026-03,340.67
nstatoshi,2026-03,340.67
oreztker,2026-03,340.67
qed,2026-03,340.67
quillaudits_team,2026-03,340.67
saamin,2026-03,340.67
sgtpepper,2026-03,340.67
skipper,2026-03,340.67
solarizer_ai,2026-03,340.67
th3_hybrid,2026-03,340.67
udaykiranpedda,2026-03,340.67
waiyaki,2026-03,340.67
winfunc,2026-03,340.67
xdzibecx,2026-03,340.67
y4y,2026-03,340.67
igdbase,2026-03,105.26
princekay,2026-03,105.26
edoscoba,2026-02,1666.65
nyx,2026-02,1666.65
valves,2026-02,1666.65
valves,2025-12,9260.89
edoscoba,2025-12,8310.58
qed,2025-12,3194.58
merlinboii,2025-12,2841.8900000000003
tupaia,2025-12,2821.61
anchabadze,2025-12,2806.82
henri,2025-12,2806.82
nyx,2025-12,2806.82
prk0,2025-12,1552.78
hecker_trieu_tien,2025-12,1194.65
devdragon,2025-12,1192.9
fuzious,2025-12,1106.91
elminnyc99,2025-12,1104.96
peazzycole,2025-12,1104.96
zzebra83,2025-12,1104.96
johnyfwesh,2025-12,1050.92
jerry0422,2025-12,994.74
albert,2025-12,917.61
dulgiq,2025-12,917.61
agontuk,2025-12,527.31
kind0dev,2025-12,519.98
ht111111,2025-12,504.09
legat,2025-12,458.16999999999996
vulsight,2025-12,458.16999999999996
anantadeva,2025-12,421.95
fullstop,2025-12,387.76
brotzumax,2025-12,331.49
linkenji,2025-12,331.49
eternal1328,2025-12,171.63
coachmike,2025-12,118.08
funen,2025-12,118.08
lamassu,2025-12,118.08
astra39100,2025-12,116.33
yzx0,2025-12,116.33
0xnija,2025-12,85.19999999999999
niffylord,2025-12,65.01
diavolo,2025-12,51.76
blackdruid,2025-12,50.01
ituba,2025-12,50.01
limeibbq,2025-12,50.01
joicygiore,2025-12,21.5
alexniht,2025-12,18.65
bale,2025-12,18.65
caesar49,2025-12,18.65
dman,2025-12,18.65
micky042,2025-12,18.65
oxnoble,2025-12,18.65
prongsdev,2025-12,18.65
zitifethefirst,2025-12,18.65
0xspryon,2025-12,14.79
41rr4z0r,2025-12,14.79
anonymousjoe,2025-12,14.79
aster,2025-12,14.79
axelot,2025-12,14.79
race,2025-12,14.79
random1106,2025-12,14.79
slvdev,2025-12,14.79
soarinskysagar,2025-12,14.79
theboiledcorn,2025-12,14.79
vinay,2025-12,14.79
0xhunter20,2025-12,1.75
0xmirce,2025-12,1.75
agent001,2025-12,1.75
eightzerofour,2025-12,1.75
ewah,2025-12,1.75
forlz,2025-12,1.75
hajime,2025-12,1.75
hakeem_is_here,2025-12,1.75
happykilling,2025-12,1.75
incogknito,2025-12,1.75
kimnoic,2025-12,1.75
nexusaudits,2025-12,1.75
sahuang,2025-12,1.75
0x04,2025-12,0.0
0xaura,2025-12,0.0
0xnbvc,2025-12,0.0
0xzys,2025-12,0.0
agrawain,2025-12,0.0
alaskanking,2025-12,0.0
allan31,2025-12,0.0
arturtoros,2025-12,0.0
auditorpraise,2025-12,0.0
bluesheep,2025-12,0.0
cheng9061,2025-12,0.0
ciphermalware,2025-12,0.0
critfinds,2025-12,0.0
darf_tech,2025-12,0.0
dtang,2025-12,0.0
gakarot,2025-12,0.0
gegul,2025-12,0.0
gwumex,2025-12,0.0
humanitia,2025-12,0.0
i1ivef0rth1sh1t,2025-12,0.0
icarus,2025-12,0.0
k42,2025-12,0.0
kaysoft,2025-12,0.0
lazlosoot,2025-12,0.0
loopghost007,2025-12,0.0
lufp,2025-12,0.0
manvita,2025-12,0.0
mehdi81,2025-12,0.0
merkleboy,2025-12,0.0
merlin_san,2025-12,0.0
mibunna,2025-12,0.0
mohamedfahmy,2025-12,0.0
one,2025-12,0.0
piki,2025-12,0.0
rifter,2025-12,0.0
rox_k,2025-12,0.0
s4id,2025-12,0.0
sarveshlimaye,2025-12,0.0
spektor,2025-12,0.0
tkmk,2025-12,0.0
trynax,2025-12,0.0
vemus,2025-12,0.0
web3angel,2025-12,0.0
wilson9x1,2025-12,0.0
wuji,2025-12,0.0
xylem,2025-12,0.0
zcai,2025-12,0.0
jonah1005,2025-11,16315.8
zzebra83,2025-11,16315.8
thimthor,2025-11,11721.43
h2134,2025-11,8618.74
montecristo,2025-11,8541.49
audittens,2025-11,7590.31
hakunamatata,2025-11,5659.21
hgrano,2025-11,4639.57
kuwatakushi,2025-11,4085.0400000000004
farismaulana,2025-11,3447.79
bobai23,2025-11,3238.02
tarnished,2025-11,3238.02
tobi0x18,2025-11,2919.2799999999997
jo13,2025-11,2699.85
ekene,2025-11,2652.15
noro,2025-11,2652.15
valves,2025-11,2652.15
v2110,2025-11,1971.61
dest1ny_rs,2025-11,1947.6999999999998
zanybonzy,2025-11,1946.05
bluesheep,2025-11,1778.64
0xscater,2025-11,1693.78
rayss,2025-11,1653.87
ahahahard1k,2025-11,1553.55
araj,2025-11,1553.55
arturtoros,2025-11,1553.55
drdee,2025-11,1553.55
kovacs7,2025-11,1553.55
peazzycole,2025-11,1553.55
phoenixv110,2025-11,1553.55
slavina,2025-11,1553.55
slvdev,2025-11,1472.0299999999997
tourists,2025-11,1422.8700000000001
harry,2025-11,1405.84
ht111111,2025-11,1370.8
dantehrani,2025-11,1368.3200000000002
0xauditagent,2025-11,1368.19
commando,2025-11,1368.19
hirusha,2025-11,1368.19
piki,2025-11,1368.19
0xg0p1,2025-11,1291.4699999999998
0xsecurious,2025-11,1140.12
0xseer,2025-11,1140.12
blockace,2025-11,1140.12
dee24,2025-11,1140.12
epsec,2025-11,1140.12
s4bot3ur,2025-11,1140.12
valarislife,2025-11,1113.37
fullstop,2025-11,1090.3000000000002
vangrim,2025-11,967.58
barah,2025-11,929.42
0xdemon,2025-11,919.6600000000001
botdidy,2025-11,807.58
curly,2025-11,807.58
prk0,2025-11,798.66
0xfbi,2025-11,734.32
0xgutzzz,2025-11,734.32
makarov,2025-11,734.32
rox_k,2025-11,734.32
topenga,2025-11,734.32
jerry0422,2025-11,725.3
boodieboodieboo,2025-11,673.68
eta,2025-11,663.16
kris_renzo,2025-11,511.58
k42,2025-11,454.74
legat,2025-11,442.11
rokinot,2025-11,415.19
sl1,2025-11,413.99
niffylord,2025-11,399.96
anchabadze,2025-11,355.98
romans,2025-11,355.98
holtzzx,2025-11,325.16
nexusaudits,2025-11,325.16
bengalcatbalu,2025-11,318.65999999999997
dan__vinci,2025-11,304.11
0xki,2025-11,294.74
0xnightswatch,2025-11,285.57
0xbug_x,2025-11,284.21
agontuk,2025-11,189.6
inh3l,2025-11,189.47
alex_cipher,2025-11,133.7
freebird0323,2025-11,126.32
rikka,2025-11,126.32
axelot,2025-11,116.42
frndz0ne,2025-11,116.42
gizzy,2025-11,116.42
mrdafidi,2025-11,116.42
mrudenko,2025-11,116.42
player,2025-11,116.42
random1106,2025-11,116.42
spicymeatball,2025-11,116.42
newspacexyz,2025-11,105.71000000000001
odeili,2025-11,105.71000000000001
edoscoba,2025-11,102.84
overseer,2025-11,102.84
adriansham99,2025-11,100.36
cosin3,2025-11,100.36
undefined_joe,2025-11,100.36
mightyraj2605,2025-11,60.489999999999995
0xweb3boy,2025-11,58.01
itsjust0xsp,2025-11,58.01
wolf_kalp,2025-11,58.01
saraswati,2025-11,50.31
albert,2025-11,47.7
deeney,2025-11,47.7
djshan_eden,2025-11,47.7
hecker_trieu_tien,2025-11,47.7
hodlturk,2025-11,47.7
lufp,2025-11,47.7
manosh19,2025-11,47.7
smacaud,2025-11,47.7
web3snr,2025-11,47.7
wojack,2025-11,47.7
anantadeva,2025-11,2.61
invariantex,2025-11,2.61
savantchat,2025-11,2.61
stakog,2025-11,2.61
zcai,2025-11,2.61
ziusz,2025-11,2.61
0xmilenov,2025-11,2.48
izuman,2025-11,2.48
l3gb,2025-11,2.48
pepoc,2025-11,2.48
purevessel,2025-11,2.48
rfa,2025-11,2.48
toshi,2025-11,2.48
avoloder,2025-11,0.17
0xharrybarz,2025-11,0.13
0xiconart,2025-11,0.13
0xnija,2025-11,0.13
0xvd,2025-11,0.13
alexczm,2025-11,0.13
bbash,2025-11,0.13
codertjay,2025-11,0.13
dulgiq,2025-11,0.13
ephraimvvs,2025-11,0.13
gkrastenov,2025-11,0.13
glorbo,2025-11,0.13
grigorovv,2025-11,0.13
jaykosai,2025-11,0.13
nyxaris,2025-11,0.13
samueltroydomi,2025-11,0.13
sarveshlimaye,2025-11,0.13
scarletfir,2025-11,0.13
securehash1,2025-11,0.13
threadmodeling,2025-11,0.13
trailongoswami,2025-11,0.13
varun_05,2025-11,0.13
vesko210,2025-11,0.13
y4y,2025-11,0.13
0rpse,2025-11,0.0
0x04,2025-11,0.0
0x1982us,2025-11,0.0
0x_oi,2025-11,0.0
0xapple,2025-11,0.0
0xbereket,2025-11,0.0
0xcrypt0nite,2025-11,0.0
0xd4n13l,2025-11,0.0
0xdelvine,2025-11,0.0
0xdice91,2025-11,0.0
0xdoichantran,2025-11,0.0
0xheartcode,2025-11,0.0
0xhunter20,2025-11,0.0
0xkb,2025-11,0.0
0xkrodhan,2025-11,0.0
0xlucky,2025-11,0.0
0xmafiabug,2025-11,0.0
0xpetern,2025-11,0.0
0xrakesh,2025-11,0.0
0xraz,2025-11,0.0
0xsagetony,2025-11,0.0
0xsai,2025-11,0.0
0xvrka,2025-11,0.0
aamir,2025-11,0.0
abdelhaq16,2025-11,0.0
aestheticbhai,2025-11,0.0
ahmerdrarerh,2025-11,0.0
ainta,2025-11,0.0
al0x23,2025-11,0.0
aldarion,2025-11,0.0
ameng,2025-11,0.0
ami,2025-11,0.0
anon1one,2025-11,0.0
aristos,2025-11,0.0
arunabha003,2025-11,0.0
avalance,2025-11,0.0
ayushblock,2025-11,0.0
b_void,2025-11,0.0
bala1796,2025-11,0.0
blutorque,2025-11,0.0
boraichodrunkenmaster,2025-11,0.0
boredpukar,2025-11,0.0
c0pp3rscr3w3r,2025-11,0.0
caglankaan,2025-11,0.0
