handle_norm,year,award_usd
dcent09,2026,5099.9800000000005
montecristo,2026,5099.9800000000005
edoscoba,2026,1666.65
nyx,2026,1666.65
valves,2026,1666.65
jerry0422,2026,1624.8799999999999
0xastronatey,2026,1432.59
gesha17,2026,1340.67
0xscater,2026,445.93
0x15,2026,340.67
0xanmol,2026,340.67
0xapple,2026,340.67
0xdemon,2026,340.67
0xsolisec,2026,340.67
aestheticbhai,2026,340.67
ahahahard1k,2026,340.67
akhilmanga,2026,340.67
alan_clan_67,2026,340.67
b_void,2026,340.67
beer,2026,340.67
blockknock,2026,340.67
dna-thug,2026,340.67
drynooo,2026,340.67
hakeem_is_here,2026,340.67
happykilling,2026,340.67
hiram,2026,340.67
hodlturk,2026,340.67
jhongamersx,2026,340.67
kb520,2026,340.67
kind0dev,2026,340.67
legat,2026,340.67
meganpark,2026,340.67
nexusaudits,2026,340.67
nstatoshi,2026,340.67
oreztker,2026,340.67
qed,2026,340.67
quillaudits_team,2026,340.67
saamin,2026,340.67
sgtpepper,2026,340.67
skipper,2026,340.67
solarizer_ai,2026,340.67
th3_hybrid,2026,340.67
udaykiranpedda,2026,340.67
waiyaki,2026,340.67
winfunc,2026,340.67
xdzibecx,2026,340.67
y4y,2026,340.67
igdbase,2026,105.26
princekay,2026,105.26
oct0pwn,2025,168784.88
pashap9990,2025,84645.82
radiantlabs,2025,60390.07
0xasen,2025,60322.549999999996
montecristo,2025,60169.25
sin1st3r__,2025,58807.64
hakunamatata,2025,58704.05
mohamedfahmy,2025,46847.07000000001
berndartmueller,2025,45811.01
hgrano,2025,44966.64
farman1094,2025,38988.31
rvierdiiev,2025,38988.31
theschnilch,2025,34242.31
0xalix2,2025,33191.18
dontonka,2025,32185.96
evo,2025,32149.65
inh3l,2025,30648.96
handsomegiraffe,2025,26332.7
p4y4b13,2025,26055.75
almanax,2025,24842.21
d3e4,2025,24589.59
eightzerofour,2025,23848.89
youcrossthelinealfie,2025,20458.18
0x15,2025,19620.289999999997
matte,2025,19412.21
0x007,2025,19124.129999999997
zzebra83,2025,17971.239999999998
benrai,2025,17944.04
oakcobalt,2025,17150.19
gesha17,2025,17133.300000000003
givn,2025,16504.14
jonah1005,2025,16315.8
lian886,2025,15258.84
0xphantom,2025,14731.970000000001
sbsecurity,2025,14457.909999999998
maxzuvex,2025,13198.23
rhaydden,2025,12681.23
dieempty,2025,12475.11
0xluk3,2025,12251.88
kupiasec,2025,12077.21
valves,2025,11913.04
thimthor,2025,11721.43
johnyfwesh,2025,11714.92
valarislife,2025,11640.490000000002
hunterrrrrrr,2025,11507.400000000001
edoscoba,2025,10555.130000000001
klosmitsoss,2025,10517.529999999999
ev_om,2025,10486.53
dhank,2025,9889.98
eta,2025,9467.96
m4k2,2025,9397.98
codegpt,2025,9146.99
0xdemon,2025,8808.08
lonelybones,2025,8690.03
h2134,2025,8618.74
rayss,2025,8442.33
sparrow,2025,8253.01
bauchibred,2025,8165.54
crunter,2025,8162.0199999999995
omen,2025,8050.0
audittens,2025,7630.900000000001
anchabadze,2025,7609.13
mrvaliobg,2025,7531.459999999999
zeroex,2025,7509.05
monrel,2025,7272.47
zanybonzy,2025,7119.04
t0x1c,2025,7065.34
vincigearhead,2025,6994.0
jerry0422,2025,6871.92
spearmint,2025,6797.24
k42,2025,6355.63
nexusaudits,2025,6328.5
alexxander,2025,6267.25
juggernaut63,2025,6263.59
rscodes,2025,6232.06
pfapostol,2025,6229.639999999999
dan__vinci,2025,5971.2
0rpse,2025,5845.89
aamir,2025,5740.67
testerbot,2025,5692.57
minato7namikazi,2025,5552.08
shaflow2,2025,5410.13
faculty1,2025,5300.87
